Date,Open,High,Low,Close,Volume,Adj Close
2009-06-19,85.959999,86.099998,84.919998,85.309998,13880400,71.515945
2009-06-18,85.279999,86.150002,84.980003,85.620003,13378600,71.538585
2009-06-17,85.220001,85.860001,84.830002,85.230003,13494000,71.212726
2009-06-16,86.690002,86.760002,85.220001,85.260002,12830900,71.237791
2009-06-15,87.230003,87.279999,86.00,86.489998,14006100,72.265497
2009-06-12,87.599998,88.330002,87.370003,88.309998,12743500,73.786172
2009-06-11,87.860001,89.019997,87.800003,87.860001,21696400,73.410183
2009-06-10,88.550003,88.580002,86.580002,87.650002,25155700,73.234721
2009-06-09,87.970001,88.230003,87.440002,87.739998,22428400,73.309917
2009-06-08,87.220001,88.400002,86.50,87.739998,23538400,73.309917
2009-06-05,88.25,88.550003,87.120003,87.910004,16834300,73.451963
2009-06-04,86.910004,87.660004,86.489998,87.510002,11762200,73.117747
2009-06-03,87.019997,87.110001,86.080002,86.949997,9488600,72.649843
2009-06-02,87.139999,87.970001,86.93,87.50,10553900,73.10939
2009-06-01,86.279999,87.669998,86.050003,87.349998,12952000,72.984058
2009-05-29,84.389999,85.760002,83.760002,85.389999,15275000,71.346409
2009-05-28,83.790001,84.449997,82.529999,84.019997,17780200,70.201722
2009-05-27,84.970001,85.07,82.970001,83.160004,13708200,69.483167
2009-05-26,82.269997,85.059998,82.269997,84.849998,13636800,70.895218
2009-05-22,83.419998,83.739998,82.660004,82.870003,10156800,69.240861
2009-05-21,83.279999,83.330002,82.300003,83.099998,20038800,69.433031
2009-05-20,85.339996,85.970001,84.099998,84.190002,18083800,70.343768
2009-05-19,84.940002,85.389999,84.629997,84.739998,17908900,70.803309
2009-05-18,83.580002,85.120003,83.50,85.120003,12745200,71.120817
2009-05-15,83.150002,83.949997,82.279999,82.779999,23137600,69.165659
2009-05-14,83.120003,83.970001,82.940002,83.389999,15029400,69.469795
2009-05-13,83.709999,83.860001,82.800003,83.129997,17683700,69.253194
